image_name,gps_timestamp,gps_week,yaw,pitch,roll
DSC00007.JPG,552471.663062,2234,-84.8,5.1,-7.5
DSC00008.JPG,552473.480113,2234,-89.4,6.1,-11.7
DSC00009.JPG,552475.282038,2234,-100.8,8.2,-4.9
DSC00010.JPG,552477.184215,2234,-103.9,4.8,0.1
DSC00011.JPG,552479.086606,2234,-99.7,5.3,2.1
DSC00012.JPG,552481.021386,2234,-90.5,0.7,3.5
DSC00013.JPG,552482.923746,2234,-89.7,1.9,0.2
DSC00014.JPG,552484.792014,2234,-93,-0.7,-4.5
DSC00015.JPG,552486.626697,2234,-97,0.1,-1.2
DSC00016.JPG,552488.463203,2234,-98.5,1.1,-0.3
DSC00017.JPG,552490.332185,2234,-98.2,0.7,-1.8
DSC00018.JPG,552527.751881,2234,-98.9,2.1,2.4
DSC00019.JPG,552529.670054,2234,-97.4,-1.8,-0.1
DSC00020.JPG,552531.504919,2234,-99.2,0.6,-1.9
DSC00021.JPG,552533.306666,2234,-96.9,1.1,-0.6
DSC00022.JPG,552535.108478,2234,-94.7,1.1,0.4
DSC00023.JPG,552536.877093,2234,-95.1,1.2,2
DSC00024.JPG,552538.645589,2234,-98.1,1.2,-5.4
DSC00025.JPG,552540.448588,2234,-97.6,-0.3,2.9
DSC00026.JPG,552542.215378,2234,-95.3,-0.3,2.8
DSC00027.JPG,552544.018733,2234,-97.1,-0.7,-1.1
DSC00028.JPG,552545.685876,2234,-93.2,-2.3,2.3
DSC00029.JPG,552547.45446,2234,-95.2,-1.9,-0.6
DSC00030.JPG,552549.222727,2234,-97.4,-1.5,-2.8
DSC00031.JPG,552550.958355,2234,-98.2,0.4,0.9
DSC00032.JPG,552552.692473,2234,-97.8,2,2
DSC00033.JPG,552554.528481,2234,-96.9,2.4,1.4
DSC00034.JPG,552556.429596,2234,-96.8,3,2.6
DSC00035.JPG,552558.33196,2234,-96.7,2.7,0
DSC00036.JPG,552560.233894,2234,-98.3,4.8,-1.9
